"admin2Name","admin1Name","Shape_Leng","Shape_Area","LGA","ID","Area_km2","clust"
"Etim Ekpo","Akwa Ibom",0.842922275723,0.017968734339,"Etim Ekpo",199,220.369007063527,"3_1"
"Etinan","Akwa Ibom",0.674628266594,0.01409205985,"Etinan",200,172.864074313463,"3_1"
"Ibeno","Akwa Ibom",1.11223453004,0.0198337354977,"Ibeno",272,243.381998992669,"3_1"
"Ibesikpo Asutan","Akwa Ibom",0.59795442119,0.0142781356522,"Ibesikpo Asutan",273,175.12155075425,"3_1"
"Ibiono Ibom","Akwa Ibom",0.984419854672,0.027420720065,"Ibiono Ibom",275,336.167470030274,"3_1"
"Ika","Akwa Ibom",0.491249133611,0.00935048671959,"Ika",308,114.66776580101,"3_1"
"Ikono","Akwa Ibom",0.867660274639,0.02142038175,"Ikono",318,262.60390434908,"3_1"
"Ikot Abasi","Akwa Ibom",0.847532328273,0.0273565630934,"Ikot Abasi",320,335.674905892969,"3_1"
"Ikot Ekpene","Akwa Ibom",0.41414642638,0.00945298202851,"Ikot Ekpene",321,115.892265599768,"3_1"
"Ini","Akwa Ibom",0.950457470573,0.0312420305974,"Ini",338,382.902526986217,"3_1"
"Itu","Akwa Ibom",0.695595485474,0.0147022575058,"Itu",362,180.259275141467,"3_1"
"Mbo","Akwa Ibom",1.93319801877,0.0196799799384,"Mbo",476,241.466737364784,"3_1"
"Mkpat Enin","Akwa Ibom",0.983547086884,0.0285479800887,"Mkpat Enin",482,350.253648846557,"3_1"
"Nsit Atai","Akwa Ibom",0.516742026902,0.0106573737036,"Nsit Atai",511,130.729909884305,"3_1"
"Nsit Ibom","Akwa Ibom",0.532428483043,0.0106523723516,"Nsit Ibom",512,130.654992479797,"3_1"
"Nsit Ubium","Akwa Ibom",0.626366975439,0.0163791179526,"Nsit Ubium",513,200.938614995407,"3_1"
"Obot Akara","Akwa Ibom",0.635477101634,0.0191574550424,"Obot Akara",524,234.848861799044,"3_1"
